,predicted
2023-03-01,0.49
2023-03-02,0.54
2023-03-03,0.6
2023-03-04,0.66
2023-03-05,0.72
2023-03-06,0.76
2023-03-07,0.8
2023-03-08,0.82
2023-03-09,0.85
2023-03-10,0.89
2023-03-11,0.95
2023-03-12,1.01
2023-03-13,1.09
2023-03-14,1.16
2023-03-15,1.22
2023-03-16,1.26
2023-03-17,1.28
2023-03-18,1.3
2023-03-19,1.33
2023-03-20,1.39
2023-03-21,1.46
2023-03-22,1.52
2023-03-23,1.54
2023-03-24,1.54
2023-03-25,1.53
2023-03-26,1.53
2023-03-27,1.57
2023-03-28,1.63
2023-03-29,1.68
2023-03-30,1.69
2023-03-31,1.66
2023-04-01,1.62
2023-04-02,1.62
2023-04-03,1.65
2023-04-04,1.71
2023-04-05,1.75
2023-04-06,1.74
2023-04-07,1.69
2023-04-08,1.65
2023-04-09,1.65
2023-04-10,1.7
2023-04-11,1.76
2023-04-12,1.78
2023-04-13,1.75
2023-04-14,1.69
2023-04-15,1.65
2023-04-16,1.67
2023-04-17,1.73
2023-04-18,1.79
2023-04-19,1.8
2023-04-20,1.74
2023-04-21,1.67
2023-04-22,1.65
2023-04-23,1.69
2023-04-24,1.77
2023-04-25,1.81
2023-04-26,1.79
2023-04-27,1.72
2023-04-28,1.65
2023-04-29,1.65
